dia,t_total,t_prueba1,t_prueba2,rechaza,llora,toca,prueba,consume,valence_inicio,arousal_inicio,valence_p1_before,valence_p1_during,valence_p1_after,valence_p2_before,valence_p2_during,valence_p2_after,arousal_p1_before,arousal_p1_during,arousal_p1_after,arousal_p2_before,arousal_p2_during,arousal_p2_after,valence_final,arousal_final,comentarios,id,dia_original,dia_num,fase_dia,valence_mean,arousal_mean,valence_delta,arousal_delta,valence_p1_delta,valence_p2_delta,arousal_p1_delta,arousal_p2_delta,aceptacion_score,va_missing_count,tiene_nota_tecnica,texto_limpio,lex_rechazo_activo,lex_rechazo_activo_score,lex_malestar_emocional,lex_malestar_emocional_score,lex_aceptacion,lex_aceptacion_score,lex_exploracion,lex_exploracion_score,lex_intervencion_adulto,lex_intervencion_adulto_score,lex_autonomia,lex_autonomia_score,lex_problema_datos,lex_problema_datos_score,lex_net_acceptance,score_negacion,sentiment_label,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_score,cond_gira_cara,cond_usa_manos,cond_llora_malestar,cond_juega_alimento,cond_autonomo,cond_adulto_interviene,cond_formato_entero,cond_formato_papilla,cond_video_problema,cond_segunda_prueba,cond_ambivalente
13E,9.5,6.7,,1,0,1,0,0,0.1988433,0.4034833,0.1970192,0.1444198,0.141193,,,,0.7177617,0.5702053,0.4450179,,,,0.2981814,0.2835795,Toma el alimento y lo devuelve al pocillo.,ID7,13E,13,E,0.19593134,0.48400954,0.0993381,-0.1199038,-0.0558262,,-0.2727438,,-0.5,6,False,toma el alimento y lo devuelve al pocillo.,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,0,0,0,0,0,0,0,0
13P,9.933,0.933,,1,0,1,1,1,0.06205257,0.3536875,0.09327832,0.1280821,0.1350767,,,,0.3536875,0.3060625,0.260778,,,,0.3892598,0.4433042,El video está grabado en diagonal a su rostro. Uso de valores mas proximos. ,ID7,13P,13,P,0.161549898,0.34350394,0.32720723,0.0896167,0.04179838,,-0.0929095,,0.5,6,True,el video está grabado en diagonal a su rostro. uso de valores mas proximos.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,0,0,0,0,0,0,0,0,1,0,0
14E,3.2,,,1,0,0,0,0,,,,,,,,,,,,,,,,,Bota el pocillo al suelo. No hay datos en excel.,ID7,14E,14,E,,,,,,,,,-0.5,16,True,bota el pocillo al suelo. no hay datos en excel.,1,1,0,0,0,0,0,0,0,0,0,0,1,1,-1,0,,,,,,0,0,0,0,0,0,0,0,1,0,0
14P,3.266,,,1,1,0,0,0,0.1094829,0.0231625,,,,,,,,,,,,,,,"Llorando, se tapa la cara y rechaza cucharada. No hay datos en el excel.",ID7,14P,14,P,0.1094829,0.0231625,,,,,,,-1,14,True,"llorando, se tapa la cara y rechaza cucharada. no hay datos en el excel.",1,2,1,2,0,0,0,0,0,0,0,0,1,1,-4,-1,,,,,,0,0,1,0,0,0,0,1,1,0,0
15E,10.533,0.533,,1,0,1,0,0,0.2285921,0.2091583,0.2278352,0.1918948,0.1675564,,,,0.2091583,0.2043575,0.1965312,,,,0.1975918,0.2316618,Juega con el alimento y lo devuelve al pocillo.,ID7,15E,15,E,0.20269406,0.21017342,-0.0310003,0.0225035,-0.0602788,,-0.0126271,,-0.5,6,False,juega con el alimento y lo devuelve al pocillo.,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,1,0,0,0,0,0,0,0
15P,10,3.633,,1,0,1,1,0,0.2111963,0.2902042,0.8328225,0.8155075,0.6962201,,,,0.8849748,0.9076328,0.9050357,,,,0.5730056,0.8037665,Se saca la papilla de la boca con las manos.,ID7,15P,15,P,0.6257504,0.7583228,0.3618093,0.5135623,-0.1366024,,0.0200609,,0,6,False,se saca la papilla de la boca con las manos.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,0,1,0,0,0,0,0,1,0,0,0
16E,4.8,,,1,0,0,0,0,0.1015461,0.006958331,,,,,,,,,,,,,0.1399516,0.2759759,Empuja lejos el pocillo.,ID7,16E,16,E,0.12074885,0.141467116,0.0384055,0.269017569,,,,,-0.5,12,False,empuja lejos el pocillo.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,0,0,0,0,0,0,0,0
16P,2.5,,,1,0,0,0,0,0.5961933,0.7513416,,,,,,,,,,,,,,,Rechaza la cucharada de papilla y se tapa la cara con las manos. No hay datos del final del video en excel.,ID7,16P,16,P,0.5961933,0.7513416,,,,,,,-0.5,14,True,rechaza la cucharada de papilla y se tapa la cara con las manos. no hay datos del final del video en excel.,1,2,0,0,0,0,0,0,0,0,0,0,1,1,-2,-1,,,,,,0,1,0,0,0,0,0,1,1,0,0
17E,5.033,0.533,,1,0,1,0,0,0.174174,0.1385917,0.174561,0.2093116,0.2113853,,,,0.1385917,0.1705458,0.1741597,,,,0.1615002,0.5839499,Lo toca. Voltea la cara al darle un trozo.,ID7,17E,17,E,0.18618642,0.24116776,-0.0126738,0.4453582,0.0368243,,0.035568,,-0.5,6,False,lo toca. voltea la cara al darle un trozo.,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,,,,,,1,0,0,0,0,0,1,0,0,0,0
17P,8.1,4.4,,1,0,0,1,1,0.1198633,0.0291,0.3102474,0.211707,0.1611953,,,,0.5450671,0.4553156,0.3923199,,,,0.1662912,0.5056212,A la primera cucharada dada voltea el rostro para no comer.,ID7,17P,17,P,0.19386084,0.38548476,0.0464279,0.4765212,-0.1490521,,-0.1527472,,0.5,6,False,a la primera cucharada dada voltea el rostro para no comer.,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,-2,,,,,,1,0,0,0,0,0,0,1,0,0,0
18E,5.633,,,1,1,0,0,0,,,,,,,,,,,,,,,,,Llora con las manos en la cara y empuja el pocillo. No hay datos del inicio y final del video en excel.,ID7,18E,18,E,,,,,,,,,-1,16,True,llora con las manos en la cara y empuja el pocillo. no hay datos del inicio y final del video en excel.,1,1,1,1,0,0,0,0,0,0,0,0,1,1,-2,-1,,,,,,0,1,1,0,0,0,0,0,1,0,0
18P,6.3,2.7,,1,0,0,1,0,0.4564167,0.6373584,0.1787241,0.1622553,0.1815714,,,,0.3473286,0.2890671,0.2633553,,,,0.1992008,0.4317535,Mientras juega con un juguete se le da la punta de una cucharada de papilla.,ID7,18P,18,P,0.23563366,0.39377258,-0.2572159,-0.2056049,0.0028473,,-0.0839733,,0,6,False,mientras juega con un juguete se le da la punta de una cucharada de papilla.,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0
19E,17.333,0.8,,1,0,1,0,0,0.3106967,0.519875,0.3439638,0.2478087,0.1651472,,,,0.5498555,0.5133861,0.4341976,,,,0.3333689,0.2793107,Lo toca y juega con el alimento.,ID7,19E,19,E,0.28019706,0.45932498,0.0226722,-0.2405643,-0.1788166,,-0.1156579,,-0.5,6,False,lo toca y juega con el alimento.,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,0,0,0,0,0
20E,3.7,0.533,,1,0,1,0,0,0.2041367,0.2019125,0.203622,0.1844831,0.220844,,,,0.2019125,0.1967581,0.2114207,,,,0.5425794,0.7237668,Toma el alimento y lo devuelve al pocillo.,ID7,20E,20,E,0.27113304,0.30715412,0.3384427,0.5218543,0.017222,,0.0095082,,-0.5,6,False,toma el alimento y lo devuelve al pocillo.,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,0,0,0,0,0,0,0,0
20P,4.3,,,1,0,0,0,0,0.1342967,0.1007625,,,,,,,,,,,,,0.1702373,0.2494262,"Se nota ""con sueño"" y no recibe la cucharada.",ID7,20P,20,P,0.152267,0.17509435,0.0359406,0.1486637,,,,,-0.5,12,False,se nota con sueño y no recibe la cucharada.,1,1,1,1,1,1,0,0,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,0,0,0,0,1,0,0,0
21E,12.266,,,1,0,0,0,0,0.4651833,0.3702334,,,,,,,,,,,,,0.3722586,0.4897515,Bota el alimento y juega con el pocillo.,ID7,21E,21,E,0.41872095,0.42999245,-0.0929247,0.1195181,,,,,-0.5,12,False,bota el alimento y juega con el pocillo.,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,0,,,,,,0,0,0,1,0,0,0,0,0,0,0
21P,34.266,22.733,,1,0,0,1,0,0.7142699,0.6916834,0.1828006,0.2179966,0.4098203,,,,0.555804,0.5323975,0.4851777,,,,0.4095747,0.3865631,Se mantiene pendiente del juguete y rechaza 3 cucharadas de papilla.,ID7,21P,21,P,0.38689242,0.53032514,-0.3046952,-0.3051203,0.2270197,,-0.0706263,,0,6,False,se mantiene pendiente del juguete y rechaza 3 cucharadas de papilla.,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,0,0,0,0,1,0,0,0
1E 1,5.4,4.1,,1,0,1,0,0,0.2124708,0.2464458,0.2423786,0.1753428,0.1440508,,,,0.9424384,0.8568207,0.7378401,,,,0.2846149,0.563182,Lo toca y lo devuelve al pocillo,ID8,1E 1,1,E,0.21177158,0.6693454,0.0721441,0.3167362,-0.0983278,,-0.2045983,,-0.5,6,False,lo toca y lo devuelve al pocillo,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,0,0,0,0,0,0,0,0
1E 2,13.466,1.466,6.4,1,0,1,0,0,0.3010832,0.5651959,0.1286972,0.1013293,0.2249585,0.2208331,0.2645746,0.3139165,0.5173466,0.4833134,0.4463798,0.2021356,0.2746239,0.3515112,0.3609341,0.5642887,"Toca el alimento 2 veces, lo devuelve al pocillo y lo empuja lejos. Pone cara de disgusto",ID8,1E 2,1,E,0.239540813,0.425599388,0.0598509,-0.0009072,0.0962613,0.0930834,-0.0709668,0.1493756,-0.5,0,False,"toca el alimento 2 veces, lo devuelve al pocillo y lo empuja lejos. pone cara de disgusto",1,2,1,3,0,0,1,1,0,0,0,0,0,0,-5,-2,,,,,,0,0,0,0,0,0,0,0,0,0,0
2E,11.4,4.7,,1,0,1,1,0,0.1539204,0.1079958,0.2867101,0.2675195,0.3174668,,,,0.5047827,0.4895595,0.6070022,,,,0.1235159,0.328681,Prueba el alimento pero lo escupe.,ID8,2E,2,E,0.22982654,0.40760424,-0.0304045,0.2206852,0.0307567,,0.1022195,,0,6,False,prueba el alimento pero lo escupe.,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0
3E,10.233,3.8,,1,0,1,1,0,0.3597044,0.6990083,0.2522807,0.2022212,0.1313097,,,,0.5264881,0.4670722,0.4133333,,,,0.09409345,0.2851841,"Se lo lleva a la boca, lo prueba y lo devuelve al pocillo.",ID8,3E,3,E,0.20792189,0.4782172,-0.26561095,-0.4138242,-0.120971,,-0.1131548,,0,6,False,"se lo lleva a la boca, lo prueba y lo devuelve al pocillo.",1,1,0,0,1,2,0,0,0,0,1,1,0,0,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0
4E,13.7,0.833,8.5,1,0,1,0,0,0.1156009,0.0757,0.1031341,0.09290711,0.09941091,0.2193933,0.220452,0.2220348,0.07301156,0.06103568,0.05019989,0.5933516,0.5419647,0.4687776,0.1644979,0.1367596,Lo toma 2 veces y en ambas lo devuelve al pocillo.,ID8,4E,4,E,0.154678878,0.250100079,0.048897,0.0610596,-0.00372319,0.0026415,-0.02281167,-0.124574,-0.5,0,False,lo toma 2 veces y en ambas lo devuelve al pocillo.,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,0,0,0,0,0,0,0,0
4P,10,1,,1,0,1,1,0,0.5643633,0.5620042,0.5727798,0.4796446,0.3530152,,,,0.5607771,0.5490636,0.5192495,,,,0.2393709,0.3331849,"Prueba una cucharada de papilla, devuelve la comida de la boca.",ID8,4P,4,P,0.44183476,0.50485586,-0.3249924,-0.2288193,-0.2197646,,-0.0415276,,0,6,False,"prueba una cucharada de papilla, devuelve la comida de la boca.",1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,1,0,0,0
5E,7.666,3.233,,1,0,1,1,0,0.1610775,0.4091792,0.3148661,0.3960989,0.4071913,,,,0.4170483,0.614133,0.7335144,,,,0.1837509,0.3517459,Toca el alimento y se lleva las manos a la boca.,ID8,5E,5,E,0.29259694,0.50512416,0.0226734,-0.0574333,0.0923252,,0.3164661,,0,6,False,toca el alimento y se lleva las manos a la boca.,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0
5P,7.933,,,1,0,0,0,0,0.1802628,0.2181792,,,,,,,,,,,,,0.09106045,0.119178,"Rechaza la cucharada de papilla. Se le nota ""con sueño"".",ID8,5P,5,P,0.135661625,0.1686786,-0.08920235,-0.0990012,,,,,-0.5,12,False,rechaza la cucharada de papilla. se le nota con sueño .,1,1,1,1,0,0,0,0,0,0,0,0,0,0,-2,-1,,,,,,0,0,0,0,0,0,0,1,0,0,0
6E,15.033,10.3,,1,0,1,0,0,,,0.421339,0.2927631,0.135949,,,,0.7089484,0.6905889,0.5627045,,,,0.2200071,0.3657986,"No hay datos de los primeros 9,6 segundos de video. Toma el alimento y juega con el.",ID8,6E,6,E,0.26751455,0.5820101,,,-0.28539,,-0.1462439,,-0.5,8,True,"no hay datos de los primeros 9,6 segundos de video. toma el alimento y juega con el.",0,0,0,0,0,0,1,2,0,0,0,0,1,1,0,0,,,,,,0,0,0,0,0,0,0,0,1,0,0
6P,17.766,12.533,,1,0,0,1,1,,,,,,,,,,,,,,,,,No hay datos del momento en que prueba la cucharada de papilla. Video grabado en diagonal.,ID8,6P,6,P,,,,,,,,,0.5,16,True,no hay datos del momento en que prueba la cucharada de papilla. video grabado en diagonal.,0,0,0,0,1,1,0,0,0,0,0,0,1,2,1,1,,,,,,0,0,0,0,0,0,0,1,1,0,0
7E,9.5,6.566,,1,0,1,0,0,0.1945567,0.4037,0.196962,0.2330686,0.283761,,,,0.2395643,0.2248865,0.2617213,,,,0.2261769,0.2734557,Mientras juega con el pocillo toca el alimento 1 sola vez.,ID8,7E,7,E,0.22690504,0.28066556,0.0316202,-0.1302443,0.086799,,0.022157,,-0.5,6,False,mientras juega con el pocillo toca el alimento 1 sola vez.,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,,,,,,0,0,0,1,0,0,0,0,0,0,0
7P,18.866,4.333,12.833,0,0,0,1,1,0.1635482,0.1881792,0.2472862,0.3215573,0.2533894,0.3254966,0.3158379,0.2427962,0.4053712,0.5103967,0.5436983,0.384771,0.3584179,0.3454259,0.1043483,0.4356228,Se le entrega la cuchara para que pruebe ella. Recibe una cucharada. Cara de disgusto.,ID8,7P,7,P,0.246782513,0.396485375,-0.0591999,0.2474436,0.0061032,-0.0827004,0.1383271,-0.0393451,1,0,False,se le entrega la cuchara para que pruebe ella. recibe una cucharada. cara de disgusto.,0,0,1,2,1,1,0,0,0,0,0,0,0,0,-1,1,,,,,,0,0,0,0,0,0,0,1,0,0,0
8E,5.933,,,1,0,0,0,0,0.1464133,0.1228458,,,,,,,,,,,,,0.08034863,0.58239,Empuja el plato sin tocar el alimento.,ID8,8E,8,E,0.113380965,0.3526179,-0.06606467,0.4595442,,,,,-0.5,12,False,empuja el plato sin tocar el alimento.,1,1,0,0,0,0,1,1,0,0,0,0,0,0,-1,-1,,,,,,0,0,0,0,0,0,0,0,0,0,0
8P,4.5,,,1,0,0,0,0,0.1691267,0.3877625,,,,,,,,,,,,,0.09102952,0.352678,"Rechaza cucharada girando al cara. Valores iniciales de 0,5 ( Más próximos)",ID8,8P,8,P,0.13007811,0.37022025,-0.07809718,-0.0350845,,,,,-0.5,12,False,"rechaza cucharada girando al cara. valores iniciales de 0,5 más próximos",1,2,0,0,0,0,0,0,0,0,0,0,0,0,-2,-1,,,,,,0,0,0,0,0,0,0,1,0,0,0
9E,20.933,2.466,8.133,0,0,1,1,1,0.0745306,0.130525,0.1255046,0.1215316,0.2134682,0.3255731,0.2779662,0.2357929,0.3653741,0.454716,0.452163,0.8459024,0.7782416,0.7034567,0.2797962,0.7158337,Come sola el alimento mas de 2 veces.,ID8,9E,9,E,0.206770425,0.555776563,0.2052656,0.5853087,0.0879636,-0.0897802,0.0867889,-0.1424457,1,0,False,come sola el alimento mas de 2 veces.,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,1,,,,,,0,0,0,0,1,0,0,0,0,0,0
10E,27.1,7.033,11.333,0,0,1,1,1,0.09457376,0.0266,0.163352,0.1343484,0.2097548,0.2581888,0.2624163,0.2234242,0.3002277,0.25713,0.2281155,0.4563007,0.4377376,0.4228791,0.1214067,0.2875643,Come sola el alimento mas de 2 veces.,ID8,10E,10,E,0.18343312,0.302069363,0.02683294,0.2609643,0.0464028,-0.0347646,-0.0721122,-0.0334216,1,0,False,come sola el alimento mas de 2 veces.,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,1,,,,,,0,0,0,0,1,0,0,0,0,0,0
11E,24.833,17.266,,0,0,1,1,1,0.1631646,0.3883042,0.1842526,0.1611912,0.1467521,,,,0.530993,0.5020744,0.4208509,,,,0.2182218,0.5251731,Se usaron los datos mas cercanos para el inicio y el final. Faltan muchos valores.,ID8,11E,11,E,0.17471646,0.47347912,0.0550572,0.1368689,-0.0375005,,-0.1101421,,1,6,True,se usaron los datos mas cercanos para el inicio y el final. faltan muchos valores.,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0
12E,23.433,3.5,14.333,0,0,1,1,1,0.09309694,0.2922208,0.2283056,0.2686335,0.2316523,0.1737029,0.1471074,0.1496266,0.2819375,0.4856033,0.4899078,0.4462129,0.4198807,0.3903338,0.1694237,0.4473682,Come sola el alimento mas de 2 veces.,ID8,12E,12,E,0.182693618,0.406683125,0.07632676,0.1551474,0.0033467,-0.0240763,0.2079703,-0.0558791,1,0,False,come sola el alimento mas de 2 veces.,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,1,,,,,,0,0,0,0,1,0,0,0,0,0,0
13E,41.333,4.133,10.666,0,0,1,1,1,0.18566,0.222775,0.2824961,0.2880596,0.1864768,0.2138446,0.2661918,0.2187728,0.542124,0.6076182,0.5827317,0.3415176,0.4666353,0.5875657,0.3789586,0.9289542,Come sola el alimento mas de 2 veces.,ID8,13E,13,E,0.252557538,0.534990213,0.1932986,0.7061792,-0.0960193,0.0049282,0.0406077,0.2460481,1,0,False,come sola el alimento mas de 2 veces.,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,1,,,,,,0,0,0,0,1,0,0,0,0,0,0
14E,23.066,4.6,12.566,0,0,1,1,1,0.195268,0.215425,0.3427973,0.2831385,0.1548717,0.2096916,0.2197304,0.2774687,0.5357223,0.5231195,0.3407253,0.6286651,0.5534363,0.4981287,0.1517569,0.2549531,Se tapa la boca los primeros segundos de video. Come sola mas de 2 veces.,ID8,14E,14,E,0.229340388,0.443771913,-0.0435111,0.0395281,-0.1879256,0.0677771,-0.194997,-0.1305364,1,0,False,se tapa la boca los primeros segundos de video. come sola mas de 2 veces.,1,2,0,0,1,2,0,0,0,0,1,1,0,0,0,1,,,,,,0,0,0,0,1,0,0,0,0,0,0
15E,27.1,3.1,8.6,0,0,1,1,1,0.13404,0.09491667,0.2520434,0.1951161,0.1753681,0.2392494,0.2664619,0.241443,0.764861,0.740591,0.6949449,0.4584108,0.6072435,0.6081169,0.1356822,0.1928344,Come sola el alimento mas de 2 veces.,ID8,15E,15,E,0.204925513,0.520239896,0.0016422,0.09791773,-0.0766753,0.0021936,-0.0699161,0.1497061,1,0,False,come sola el alimento mas de 2 veces.,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,1,,,,,,0,0,0,0,1,0,0,0,0,0,0
16E,25.866,1.433,6.633,0,0,1,1,1,0.35439,0.5654876,0.1856559,0.1837161,0.1604409,0.09404965,0.1786708,0.2859893,0.4617161,0.4190721,0.5670957,0.4392025,0.4036565,0.5148271,0.2322019,0.4930022,Come sola el alimento mas de 2 veces.,ID8,16E,16,E,0.209389319,0.483007475,-0.1221881,-0.0724854,-0.025215,0.19193965,0.1053796,0.0756246,1,0,False,come sola el alimento mas de 2 veces.,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,1,,,,,,0,0,0,0,1,0,0,0,0,0,0
17E,14.766,2.233,8.766,0,0,1,1,1,0.1072586,0.02042083,0.2842873,0.2655616,0.2148339,0.2494026,0.3271603,0.2624553,0.2645574,0.3840007,0.4130799,0.4345425,0.5021551,0.4950575,0.3201752,0.4860912,Mantiene el alimento cerca de su boca y lo mastica varias veces.,ID8,17E,17,E,0.25389185,0.374988141,0.2129166,0.46567037,-0.0694534,0.0130527,0.1485225,0.060515,1,0,False,mantiene el alimento cerca de su boca y lo mastica varias veces.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,,,,,,0,0,0,0,0,0,0,0,0,0,0
18E,29.433,2.8,11.3,0,0,1,1,1,0.1071258,0.01803334,0.2998507,0.2416155,0.1950186,0.2243881,0.2790847,0.2318702,0.405401,0.4343908,0.4325037,0.3319523,0.4127983,0.4304501,0.1581875,0.09766552,Come sola el alimento mas de 2 veces.,ID8,18E,18,E,0.217142638,0.320399383,0.0510617,0.07963218,-0.1048321,0.0074821,0.0271027,0.0984978,1,0,False,come sola el alimento mas de 2 veces.,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,1,,,,,,0,0,0,0,1,0,0,0,0,0,0
19E,23.666,1.1,11.433,0,0,1,1,1,0.06045927,0.2475,0.06442668,0.1653163,0.2201509,0.1612895,0.2445363,0.2145317,0.2475,0.3369731,0.4195025,0.3133173,0.4269392,0.4585409,0.219364,0.3586877,Come sola el alimento mas de 2 veces.,ID8,19E,19,E,0.168759331,0.351120088,0.15890473,0.1111877,0.15572422,0.0532422,0.1720025,0.1452236,1,0,False,come sola el alimento mas de 2 veces.,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,1,,,,,,0,0,0,0,1,0,0,0,0,0,0
20E,24.433,4.733,15.266,0,0,1,1,1,0.09044484,0.0217375,0.2066715,0.2563622,0.1793021,0.2039901,0.1971083,0.2063329,0.146704,0.5895192,0.6246672,0.3564649,0.3834284,0.4254411,0.1692077,0.2071007,Come sola. Mantiene el alimento cerca de su boca dandole varias mordidas.,ID8,20E,20,E,0.188677455,0.344382875,0.07876286,0.1853632,-0.0273694,0.0023428,0.4779632,0.0689762,1,0,False,come sola. mantiene el alimento cerca de su boca dandole varias mordidas.,0,0,0,0,1,2,0,0,0,0,1,1,0,0,2,1,,,,,,0,0,0,0,1,0,0,0,0,0,0
1,,,,,,,,,,,,,,,,,,,,,,,,,,ID9,1,1,sin_fase,,,,,,,,,,16,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2,35.46,15.16,30.53,0,0,1,1,1,0.3410981,0.8007792,0.1746858,0.1537421,0.1311946,0.1500446,0.1208947,0.1014798,0.5309276,0.4884807,0.4400403,0.3335245,0.3141364,0.2991163,0.1343172,0.4672336,,ID9,2,2,sin_fase,0.163432113,0.459279825,-0.2067809,-0.3335456,-0.0434912,-0.0485648,-0.0908873,-0.0344082,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
3,10.03,2.5,,0,0,1,1,1,0.1289433,0.1392833,0.1223885,0.1598134,0.2472287,,,,0.1007269,0.1018946,0.2397644,,,,0.3681029,0.5258981,"Se coloco el dato de los 0,5 segundos despues a los 0,36 segundos ya que luego de esos no habia mas lectura de datos",ID9,3,3,sin_fase,0.20529536,0.22151346,0.2391596,0.3866148,0.1248402,,0.1390375,,1,6,True,"se coloco el dato de los 0,5 segundos despues a los 0,36 segundos ya que luego de esos no habia mas lectura de datos",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0
4,30.86,11.6,24.8,0,0,1,1,1,0.1696867,0.1157792,0.1221673,0.1115218,0.1234038,0.09946946,0.1078368,0.1035022,0.6516266,0.6135224,0.5717126,0.4205508,0.4225203,0.4360158,0.2041979,0.420896,,ID9,4,4,sin_fase,0.130223245,0.456577963,0.0345112,0.3051168,0.0012365,0.00403274,-0.079914,0.015465,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
5,22.2,1.03,12.36,0,0,1,1,1,0.4445434,0.7026334,0.3855805,0.3966434,0.3671055,0.2671963,0.2445161,0.1944636,0.6954298,0.8634034,0.9358109,0.6715493,0.7653782,0.7468902,0.1751411,0.6942983,,ID9,5,5,sin_fase,0.309398738,0.759424188,-0.2694023,-0.0083351,-0.018475,-0.0727327,0.2403811,0.0753409,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
6,24.93,6.83,18.93,0,0,1,1,1,0.1880582,0.1519917,0.3245332,0.3500576,0.3201698,0.2878698,0.3243794,0.3286186,0.9208104,0.9071752,0.8938225,0.6551286,0.6251847,0.5853868,0.1161732,0.402923,,ID9,6,6,sin_fase,0.279982475,0.642802863,-0.071885,0.2509313,-0.0043634,0.0407488,-0.0269879,-0.0697418,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
7,36,4.33,32.5,0,0,1,1,1,0.1559567,0.06994584,0.2991265,0.257659,0.1913362,0.3192262,0.3568369,0.3177388,0.8518409,0.9071807,0.8806189,0.4813514,0.5256378,0.5399507,0.1633827,0.4870188,Prueba mas de 2 veces,ID9,7,7,sin_fase,0.257657875,0.59294313,0.007426,0.41707296,-0.1077903,-0.0014874,0.028778,0.0585993,1,0,False,prueba mas de 2 veces,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,0,0,0,0,0,0,0,0,0,0,0
8,43.73,1.93,23.82,0,0,1,1,1,0.1233026,0.5108625,0.1935254,0.2348534,0.2439131,0.2454706,0.2556227,0.207053,0.4773907,0.466717,0.4552697,0.5083111,0.4399867,0.4036314,0.07371148,0.3941093,,ID9,8,8,sin_fase,0.197181535,0.4570348,-0.04959112,-0.1167532,0.0503877,-0.0384176,-0.022121,-0.1046797,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
9,22.1,4.26,14,0,0,1,1,1,0.1065545,0.2888583,0.1392929,0.1116769,0.0921234,0.1370783,0.1175328,0.1052138,0.7145786,0.6866395,0.6253452,0.4203999,0.3910085,0.3733877,0.168704,0.4779099,,ID9,9,9,sin_fase,0.122272075,0.49726595,0.0621495,0.1890516,-0.0471695,-0.0318645,-0.0892334,-0.0470122,1,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
10,23.56,2.9,,0,0,1,1,1,0.112253,0.3624042,0.1471132,0.1168169,0.1302014,,,,0.7352679,0.6622322,0.6138687,,,,0.2257332,0.433336,Segunda prueba sin lectura de datos clara por mucho intervalo de tiempo.,ID9,10,10,sin_fase,0.14642354,0.5614218,0.1134802,0.0709318,-0.0169118,,-0.1213992,,1,6,False,segunda prueba sin lectura de datos clara por mucho intervalo de tiempo.,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,,,,,,0,0,0,0,0,0,0,0,0,1,0
