dia,t_total,t_prueba1,t_prueba2,rechaza,llora,toca,prueba,consume,valence_inicio,arousal_inicio,valence_p1_before,valence_p1_during,valence_p1_after,valence_p2_before,valence_p2_during,valence_p2_after,arousal_p1_before,arousal_p1_during,arousal_p1_after,arousal_p2_before,arousal_p2_during,arousal_p2_after,valence_final,arousal_final,comentarios,id,dia_original,dia_num,fase_dia,valence_mean,arousal_mean,valence_delta,arousal_delta,valence_p1_delta,valence_p2_delta,arousal_p1_delta,arousal_p2_delta,aceptacion_score,va_missing_count,tiene_nota_tecnica,texto_limpio,lex_rechazo_activo,lex_rechazo_activo_score,lex_malestar_emocional,lex_malestar_emocional_score,lex_aceptacion,lex_aceptacion_score,lex_exploracion,lex_exploracion_score,lex_intervencion_adulto,lex_intervencion_adulto_score,lex_autonomia,lex_autonomia_score,lex_problema_datos,lex_problema_datos_score,lex_net_acceptance,score_negacion,sentiment_label,sentiment_pos,sentiment_neg,sentiment_neu,sentiment_score,cond_gira_cara,cond_usa_manos,cond_llora_malestar,cond_juega_alimento,cond_autonomo,cond_adulto_interviene,cond_formato_entero,cond_formato_papilla,cond_video_problema,cond_segunda_prueba,cond_ambivalente
4,11.69,0.7,,0,0,0,1,1,0.1431962,0.3749208,0.154942,0.2056298,0.2032728,,,,0.3737917,0.4182543,0.4701261,,,,0.2342016,0.7306529,"La segunda vez sí lo rechaza ( corre la cara), no lo prueba",ID3,4,4,sin_fase,0.18824848,0.47354916,0.0910054,0.3557321,0.0483308,,0.0963344,,1,6,False,"la segunda vez sí lo rechaza corre la cara , no lo prueba",1,3,0,0,1,1,0,0,0,0,0,0,0,0,-2,-2,,,,,,0,0,0,0,0,0,0,0,0,1,0
5,40.06,1.8,22.26,1,0,0,1,0,0.110574,0.476125,0.1861933,0.1809343,0.1641362,0.09999079,0.09804553,0.136908,0.5067814,0.4905707,0.4609474,0.5601228,0.5382319,0.6215369,0.07869221,0.7454267,"1era vez no lo prueba, lo rechaza y hace puchero",ID3,5,5,sin_fase,0.131934291,0.54996785,-0.03188179,0.2693017,-0.0220571,0.03691721,-0.045834,0.0614141,0,0,False,"1era vez no lo prueba, lo rechaza y hace puchero",1,2,0,0,1,1,0,0,0,0,0,0,0,0,-1,-2,,,,,,0,0,0,0,0,0,0,0,0,0,0
6.1,22.33,6.7,,1,0,0,0,0,0.09154134,0.8311625,0.08754081,0.09610073,0.1133165,,,,0.7206476,0.6658671,0.6120194,,,,0.05373215,0.99,La cuchara sólo toca los labios. Hace pucheros,ID3,6.1,6.1,sin_fase,0.088446306,0.76393932,-0.03780919,0.1588375,0.02577569,,-0.1086282,,-0.5,6,False,la cuchara sólo toca los labios. hace pucheros,0,0,1,2,0,0,1,1,0,0,0,0,0,0,-2,0,,,,,,0,0,1,0,0,0,0,1,0,0,0
6.2,15.76,2.27,,0,0,0,1,0,0.07186207,0.99,0.1355303,0.1396538,0.1422011,,,,0.8180348,0.7104184,0.6176952,,,,0.07147405,0.6855917,Hace pucheros,ID3,6.2,6.2,sin_fase,0.112144264,0.76434802,-0.00038802,-0.3044083,0.0066708,,-0.2003396,,0.5,6,False,hace pucheros,0,0,1,2,0,0,0,0,0,0,0,0,0,0,-2,0,,,,,,0,0,1,0,0,0,0,0,0,0,0
7.1,11.79,,,1,0,0,0,0,0.3724247,0.99,,,,,,,,,,,,,,,Rechaza y casi se pone a llorar,ID3,7.1,7.1,sin_fase,0.3724247,0.99,,,,,,,-0.5,14,False,rechaza y casi se pone a llorar,1,1,1,3,0,0,0,0,0,0,0,0,0,0,-4,-1,,,,,,0,0,1,0,0,0,0,0,0,0,0
7.2,19.06,1.26,14.13,0,0,0,1,1,0.3739474,0.99,0.3414004,0.2880399,0.3070621,0.3182788,0.335007,0.2914325,0.9858838,0.9762529,0.9401654,0.5798249,0.5262108,0.47981,0.3627652,0.7031476,La 2da vez corre la cara ,ID3,7.2,7.2,sin_fase,0.327241663,0.772661925,-0.0111822,-0.2868524,-0.0343383,-0.0268463,-0.0457184,-0.1000149,1,0,False,la 2da vez corre la cara,1,1,0,0,0,0,0,0,0,0,0,0,0,0,-1,0,,,,,,0,0,0,0,0,0,0,0,0,1,0
8,27.46,14.66,20.26,0,0,0,1,1,0.08415783,0.99,0.227017,0.1920055,0.1908311,0.2598885,,0.2186778,0.7373079,0.6751741,0.6074764,0.4874744,,0.4233465,0.3897974,0.6180849,"Al principio lo rechaza, no abre la boca",ID3,8,8,sin_fase,0.223196447,0.648409171,0.30563957,-0.3719151,-0.0361859,-0.0412107,-0.1298315,-0.0641279,1,2,False,"al principio lo rechaza, no abre la boca",1,2,0,0,1,1,0,0,0,0,0,0,0,0,-1,-2,,,,,,0,0,0,0,0,0,0,0,0,0,0
9,25.89,13.4,21.13,1,0,0,1,0,0.1130479,0.4085,0.1620384,0.1285434,0.115484,0.162279,0.1247447,0.1055949,0.7675727,0.7346685,0.695716,0.5271978,0.4689644,0.4338855,0.06596849,0.7979434,,ID3,9,9,sin_fase,0.122212599,0.604306038,-0.04707941,0.3894434,-0.0465544,-0.0566841,-0.0718567,-0.0933123,0,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
10,37.46,21.13,31.76,1,0,0,1,1,0.1101097,0.4507167,0.1092515,0.09929353,0.1162566,0.0996631,0.09004688,0.1620212,0.3757038,0.36797,0.351804,0.3957164,0.3663868,0.3558452,0.1333773,0.7352012,,ID3,10,10,sin_fase,0.115002476,0.424918013,0.0232676,0.2844845,0.0070051,0.0623581,-0.0238998,-0.0398712,0.5,0,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
11,29.89,1.2,11.8,0,0,0,1,0,0.1437311,0.7042,0.1436356,0.1264652,0.09549755,,,,0.6847805,0.6619384,0.6294401,,,,0.1148032,0.7092205,,ID3,11,11,sin_fase,0.12482653,0.6779159,-0.0289279,0.0050205,-0.04813805,,-0.0553404,,0.5,6,False,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
